datetime,open,high,low,close,volume
2010-07-15,9967.25,9995.75,9885.54,9932.1,0.0
2010-07-22,9954.9,10069.2,9914.85,10060.25,0.0
2010-07-29,10038.6,10207.2,10032.04,10179.7,0.0
2010-08-05,10444.6,10539.65,10441.5,10454.9,0.0
2010-08-12,10308.15,10614.2,10308.15,10583.65,0.0
2010-08-19,10920.4,11126.95,10895.85,11110.5,0.0
2010-08-26,10941.8,11042.15,10941.8,10981.7,0.0
2010-09-02,10931.4,11001.65,10931.4,10980.6,0.0
2010-09-09,11223.65,11468.75,11223.65,11446.7,0.0
2010-09-16,11960.65,12236.85,11960.6,12032.05,0.0
2010-09-23,12312.55,12327.8,12111.4,12146.3,0.0
2010-09-30,12210.75,12410.6,12178.9,12366.35,0.0
2010-10-07,12638.4,12650.25,12512.85,12536.6,0.0
2010-10-14,12785.95,12827.35,12532.4,12598.85,0.0
2010-10-21,12219.0,12458.15,12190.5,12435.8,0.0
2010-10-28,12226.7,12291.15,12052.05,12105.3,0.0
2010-11-04,12987.3,13204.55,12952.15,13182.9,0.0
2010-11-11,13014.2,13068.55,12782.0,12823.6,0.0
2010-11-18,12630.9,12630.9,12050.35,12315.15,0.0
2010-11-25,11897.9,11962.1,11608.3,11652.4,0.0
2010-12-02,12411.0,12535.85,12389.65,12472.6,0.0
2010-12-09,11470.65,11534.0,11043.95,11116.05,0.0
2010-12-16,11231.15,11484.95,11147.45,11424.15,0.0
2010-12-23,11510.5,11541.05,11432.15,11469.05,0.0
2010-12-30,11605.05,11662.1,11573.7,11629.3,0.0
2011-01-06,11350.7,11377.1,11164.75,11186.8,0.0
2011-01-13,11125.95,11127.95,10676.5,10716.65,0.0
2011-01-20,10579.25,10878.8,10493.25,10798.35,0.0
2011-01-27,10946.4,10970.85,10639.85,10676.15,0.0
2011-02-03,10460.95,10704.3,10429.5,10670.6,0.0
2011-02-10,10106.25,10227.75,10017.85,10074.1,0.0
2011-02-17,10996.25,11190.2,10918.1,11134.7,0.0
2011-02-24,10603.25,10643.25,10169.0,10210.75,0.0
2011-03-03,10805.0,11066.4,10759.7,10914.5,0.0
2011-03-10,10920.65,10920.65,10783.3,10850.25,0.0
2011-03-17,10881.85,11018.3,10824.4,10851.95,0.0
2011-03-24,11001.75,11112.6,11001.75,11070.35,0.0
2011-03-31,11804.95,11898.4,11569.25,11705.45,0.0
2011-04-07,11724.75,11825.0,11656.7,11754.4,0.0
2011-04-13,11531.45,11856.35,11490.55,11839.5,0.0
2011-04-21,11857.45,11926.05,11836.95,11894.75,0.0
2011-04-28,11851.75,11855.2,11659.5,11684.8,0.0
2011-05-05,10909.05,10987.6,10677.3,10730.1,0.0
2011-05-12,11009.3,11076.0,10865.15,10887.45,0.0
2011-05-19,10661.45,10674.7,10524.35,10558.35,0.0
2011-05-26,10404.04,10501.9,10379.25,10468.29,0.0
2011-06-02,10872.25,10881.4,10802.35,10839.25,0.0
2011-06-09,10775.45,10850.35,10734.75,10785.4,0.0
